OS業務受託見込み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024 H2,2024 H2,2024 H2,2024 H2,2024 H2,,2025 H1,2025 H1,2025 H1,2025 H1,2025 H1,2025 H1,半期計画,2025 H2,2025 H2,2025 H2,2025 H2,2025 H2,2025 H2,年間計画,,,,,,,,,,
16,今里食品,機械自動化,ICAD,計画,,,,,,,-,-,-,-,-,-,‐,-,-,-,-,-,-,0 ,,,,,,,,,,
,,,,実績,,,,,,,-,-,-,-,-,,,,,,,,,0 ,,,,,,,,,,
17,株式会社コイズミデザイン,機械設計業務,CATIA,計画,,,,,,,-,-,-,-,-,-,‐,-,-,-,-,-,-,0 ,,,,,,,,,,
,,,,実績,,,,,,,-,-,-,-,,,,,,,,,,0 ,,,,,,,,,,
18,曙ブレーキ工業,機械設計,ICAD,計画,,,,,,,-,-,-,-,-,-,‐,-,-,-,-,-,-,0 ,,,,,,,,,,
,,,,実績,,,,,,,-,-,-,-,,,,,,,,,,0 ,,,,,,,,,,
Total(合計)/月,,,,計画,0,300,300,300,300,1200,650 ,760 ,950 ,1150 ,845 ,900 ,5255 ,1000 ,800 ,1180 ,1290 ,1190 ,835 ,11550 ,"¥29,822,000","2,982.20",万円,売上金額,目標,"1,220",,,,
,,,,実績,3,74,109,150,446,782,194 ,280 ,461 ,162 ,274 ,171 ,1542 ,160 ,231 ,168 ,318 ,260 ,0 ,2679 ,"¥7,696,400",769.64,万円,,実績,-992,,,,
Cum(累計)/月,,,,計画,,,,,,,650 ,1410 ,2360 ,3510 ,4355 ,5255 ,5255 ,6255 ,7055 ,8235 ,9525 ,10715 ,11550 ,11550 ,差異,"2,212.56",万円,,差異,"2,213",,,,
,,,,実績,,,,,,,194 ,474 ,935 ,1097 ,1371 ,1542 ,1542 ,1702 ,1933 ,2101 ,2419 ,2679 ,2679 ,2679 ,,,,,,,,,,
,,,差異,,,,,,,,,,,,,,,,,,9131 ,8871 ,8871 ,,,,,,,,,,,
,,,%,,,,,,,,,,,,,,,,,,21%,23%,23%,1年License使用料(7本),,1762,万円,,,,,,,
,,,,,,,,,,,,,,,,,,,計画,,,実績,,,,,,,,,,,,
,,,,,,,,,,,,Total from Aug-24 to Dec-24:,,,,,,,11550 ,,,2679 ,,,,,,,,,,,,
,,,,,,,,,,,,Total amount (JPY):,,,,,,,20790000 ,,,4821750 ,,,,,,,,,,,,
,,,,,,,,,,,,Exchange rate:,,,,,,,165 ,,,165 ,,,,,,,,,,,,
,,,,,,,,,,,,Total amount (VND),,,,,,,3430350000 ,,,795588750 ,,,,,,,,,,,,
